"id" "type_label" "x" "y" "z" 
0 "e23" -100.0 0.0 0.0 
1 "e23" -150.0 0.0 0.0 
2 "e23" -200.0 0.0 0.0 
3 "e23" -250.0 0.0 0.0 
4 "e23" -300.0 0.0 0.0 
5 "e23" -350.0 0.0 0.0 
6 "e23" -100.0 0.0 0.0 
7 "e23" -150.0 0.0 0.0 
8 "e23" -200.0 0.0 0.0 
9 "e23" -250.0 0.0 0.0 
10 "e23" -100.0 0.0 0.0 
11 "e23" -150.0 0.0 0.0 
12 "e23" -200.0 0.0 0.0 
13 "e23" -250.0 0.0 0.0 
14 "e23" -300.0 0.0 0.0 
15 "e23" -350.0 0.0 0.0 
16 "e23" -100.0 0.0 0.0 
17 "e23" -150.0 0.0 0.0 
18 "e23" -200.0 0.0 0.0 
19 "e23" -250.0 0.0 0.0 
20 "i23" -100.0 0.0 0.0 
21 "i23" -150.0 0.0 0.0 
22 "i23" -200.0 0.0 0.0 
23 "i23" -250.0 0.0 0.0 
24 "i23" -300.0 0.0 0.0 
25 "i23" -350.0 0.0 0.0 
26 "i23" -100.0 0.0 0.0 
27 "i23" -150.0 0.0 0.0 
28 "i23" -200.0 0.0 0.0 
29 "i23" -250.0 0.0 0.0 
30 "i23" -100.0 0.0 0.0 
31 "i23" -150.0 0.0 0.0 
32 "i23" -200.0 0.0 0.0 
33 "i23" -250.0 0.0 0.0 
34 "i23" -300.0 0.0 0.0 
35 "i23" -350.0 0.0 0.0 
36 "i23" -100.0 0.0 0.0 
37 "i23" -150.0 0.0 0.0 
38 "i23" -200.0 0.0 0.0 
39 "i23" -250.0 0.0 0.0 
40 "e4" -100.0 0.0 0.0 
41 "e4" -150.0 0.0 0.0 
42 "e4" -200.0 0.0 0.0 
43 "e4" -250.0 0.0 0.0 
44 "e4" -300.0 0.0 0.0 
45 "e4" -350.0 0.0 0.0 
46 "e4" -100.0 0.0 0.0 
47 "e4" -150.0 0.0 0.0 
48 "e4" -200.0 0.0 0.0 
49 "e4" -250.0 0.0 0.0 
50 "e4" -100.0 0.0 0.0 
51 "e4" -150.0 0.0 0.0 
52 "e4" -200.0 0.0 0.0 
53 "e4" -250.0 0.0 0.0 
54 "e4" -300.0 0.0 0.0 
55 "e4" -350.0 0.0 0.0 
56 "e4" -100.0 0.0 0.0 
57 "e4" -150.0 0.0 0.0 
58 "e4" -200.0 0.0 0.0 
59 "e4" -250.0 0.0 0.0 
60 "i4" -100.0 0.0 0.0 
61 "i4" -150.0 0.0 0.0 
62 "i4" -200.0 0.0 0.0 
63 "i4" -250.0 0.0 0.0 
64 "i4" -300.0 0.0 0.0 
65 "i4" -350.0 0.0 0.0 
66 "i4" -100.0 0.0 0.0 
67 "i4" -150.0 0.0 0.0 
68 "i4" -200.0 0.0 0.0 
69 "i4" -250.0 0.0 0.0 
70 "i4" -100.0 0.0 0.0 
71 "i4" -150.0 0.0 0.0 
72 "i4" -200.0 0.0 0.0 
73 "i4" -250.0 0.0 0.0 
74 "i4" -300.0 0.0 0.0 
75 "i4" -350.0 0.0 0.0 
76 "i4" -100.0 0.0 0.0 
77 "i4" -150.0 0.0 0.0 
78 "i4" -200.0 0.0 0.0 
79 "i4" -250.0 0.0 0.0 
80 "eV1" -100.0 0.0 0.0 
81 "eV1" -150.0 0.0 0.0 
82 "eV1" -200.0 0.0 0.0 
83 "eV1" -250.0 0.0 0.0 
84 "eV1" -300.0 0.0 0.0 
85 "eV1" -350.0 0.0 0.0 
86 "eV1" -100.0 0.0 0.0 
87 "eV1" -150.0 0.0 0.0 
88 "eV1" -200.0 0.0 0.0 
89 "eV1" -250.0 0.0 0.0 
90 "eV1" -100.0 0.0 0.0 
91 "eV1" -150.0 0.0 0.0 
92 "eV1" -200.0 0.0 0.0 
93 "eV1" -250.0 0.0 0.0 
94 "eV1" -300.0 0.0 0.0 
95 "eV1" -350.0 0.0 0.0 
96 "eV1" -100.0 0.0 0.0 
97 "eV1" -150.0 0.0 0.0 
98 "eV1" -200.0 0.0 0.0 
99 "eV1" -250.0 0.0 0.0 
100 "eV1" -100.0 0.0 0.0 
101 "eV1" -150.0 0.0 0.0 
102 "eV1" -200.0 0.0 0.0 
103 "eV1" -250.0 0.0 0.0 
104 "eV1" -300.0 0.0 0.0 
105 "eV1" -350.0 0.0 0.0 
106 "eV1" -100.0 0.0 0.0 
107 "eV1" -150.0 0.0 0.0 
108 "eV1" -200.0 0.0 0.0 
109 "eV1" -250.0 0.0 0.0 
110 "eV1" -100.0 0.0 0.0 
111 "eV1" -150.0 0.0 0.0 
112 "eV1" -200.0 0.0 0.0 
113 "eV1" -250.0 0.0 0.0 
114 "eV1" -300.0 0.0 0.0 
115 "eV1" -350.0 0.0 0.0 
116 "eV1" -100.0 0.0 0.0 
117 "eV1" -150.0 0.0 0.0 
118 "eV1" -200.0 0.0 0.0 
119 "eV1" -250.0 0.0 0.0 




