approx_order class dv model module norm p0 rank record tau_m tol update_method v_max v_min nwb_file_name nwb_path
None InternalPopulation 0.0001 Excitatory dipde.internals.internalpopulation inf "{""distribution"": ""delta"", ""weight"": 0.0}" 0.0 True 0.025 1e-14 approx 0.01 -0.03 None None
None InternalPopulation 0.0001 Inhibitory dipde.internals.internalpopulation inf "{""distribution"": ""delta"", ""weight"": 0.0}" 0.0 True 0.025 1e-14 approx 0.01 -0.03 None None
None NWBExternalPopulation None Background_0 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/0
None NWBExternalPopulation None Background_500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/500
None NWBExternalPopulation None Background_1000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/1000
None NWBExternalPopulation None Background_1500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/1500
None NWBExternalPopulation None Background_2000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/2000
None NWBExternalPopulation None Background_2500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/2500
None NWBExternalPopulation None Background_3000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/3000
None NWBExternalPopulation None Background_3500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/3500
None NWBExternalPopulation None Background_4000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/4000
None NWBExternalPopulation None Background_4500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/4500
None NWBExternalPopulation None Background_5000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/5000
None NWBExternalPopulation None Background_5500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/5500
None NWBExternalPopulation None Background_6000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/6000
None NWBExternalPopulation None Background_6500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/6500
None NWBExternalPopulation None Background_7000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/7000
None NWBExternalPopulation None Background_7500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/7500
None NWBExternalPopulation None Background_8000 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/8000
None NWBExternalPopulation None Background_8500 isee_engine.popnet.nwbexternalpopulation None None 0.0 False None None None None None /data/mat/iSee_temp_shared/external_inputs/anton_TouchOfEvil_frames_3600_to_3750_example/anton_TouchOfEvil_frames_3600_to_3750.nwb /acquisition/firing_rate/8500
