"target_label" "source_label" "weight" "distance_range" "target_sections" "delay" "static_type" "tau" "syn_e" "receptor"
"e23" "e23" 1e-05 "[0, 150]" "[""apical"", ""basal""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e23" "e4" 3e-05 "[50, 250]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e23" "eGM" 0.00025 "[0, 50]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e23" "eLGN" 0.00025 "[0, 50]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e23" "eV1" 0.00025 "[0, 450]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e23" "i23" 3e-05 "[0, 250]" "[""somatic"", ""basal""]" 2.0 "exp2syn" "[1, 15]" -80 "GABAB"
"e23" "i4" 9e-05 "[50, 400]" "[""somatic"", ""basal""]" 2.0 "exp2syn" "[1, 15]" -80 "GABAB"
"e23" "iV1" 0.00025 "[50, 450]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 15]" -80 "GABAB"
"e4" "eGM" 0.00015 "[0, 50]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e4" "eL23" 1e-06 "[0, 50]" "[""apical"", ""basal""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e4" "eL4" 1.5e-05 "[0, 50]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e4" "eLGN" 5e-05 "[0, 50]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e4" "eV1" 5e-05 "[0, 50]" "[""all""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"e4" "iL23" 2e-05 "[0, 50]" "[""somatic"", ""basal""]" 2.0 "exp2syn" "[1, 15]" -80 "GABAB"
"e4" "iL4" 4e-05 "[0, 50]" "[""somatic"", ""basal""]" 2.0 "exp2syn" "[1, 15]" -80 "GABAB"
"e4" "iV1" 0.00025 "[0, 50]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 15]" -80 "GABAB"
"eV1" "e23" 1e-05 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"eV1" "e4" 3e-05 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"eV1" "eGM" 0.00025 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"eV1" "eLGN" 0.025 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"eV1" "eV1" 0.00025 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"eV1" "i23" 3e-05 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"eV1" "i4" 9e-05 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"eV1" "iV1" 0.00025 "null" "null" 2.0 "instanteneous" "null" 0 "AMPA"
"i23" "e23" 1e-05 "[0, 50]" "[""dendritic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i23" "e4" 4e-05 "[0, 50]" "[""dendritic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i23" "eGM" 0.00034 "[0, 50]" "[""all""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i23" "eLGN" 5e-05 "[0, 50]" "[""all""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i23" "eV1" 5e-05 "[0, 50]" "[""all""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i23" "i23" 2e-05 "[0, 50]" "[""all""]" 2.0 "exp2syn" "[1, 12]" -80 "GABAB"
"i23" "i4" 8e-05 "[0, 50]" "[""somatic"", ""dendritic""]" 2.0 "exp2syn" "[1, 12]" -80 "GABAB"
"i23" "iV1" 0.00025 "[0, 50]" "[""apical"", ""basal"", ""somatic""]" 2.0 "exp2syn" "[1, 15]" -80 "GABAB"
"i4" "e23" 3e-06 "[0, 250]" "[""dendritic"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i4" "e4" 3e-05 "[0, 250]" "[""dendritic"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i4" "eLGN" 5e-05 "[0, 350]" "[""dendritic"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i4" "eM" 0.0004 "[0, 250]" "[""dendritic"", ""somatic""]" 2.0 "exp2syn" "[1, 10]" 0 "AMPA"
"i4" "i23" 1e-05 "[0, 250]" "[""all""]" 2.0 "exp2syn" "[1, 12]" -80 "GABAB"
"i4" "i4" 9e-05 "[0, 50]" "[""all""]" 2.0 "exp2syn" "[1, 12]" -80 "GABAB"
"iV1" "e23" -1e-05 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
"iV1" "e4" -4e-05 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
"iV1" "eGM" -0.00034 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
"iV1" "eLGN" -0.005 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
"iV1" "eV1" -5e-05 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
"iV1" "i23" -2e-05 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
"iV1" "i4" -8e-05 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
"iV1" "iV1" -0.00025 "null" "null" 2.0 "instanteneous" "null" -80 "GABAB"
